id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
62,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [06] VI",DK-Kk 3449 8o [06] VI,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123694,Secular,,,
63,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [11] XI",DK-Kk 3449 8o [11] XI,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123699,Secular,,,
64,"Arras, Bibliothèque municipale, 893 (olim 465)",F-AS 893,,,,14th century,Arras,,,,,,,http://cantus.uwaterloo.ca/source/123593,Monastic,,,
65,"Cambrai, Bibliothèque municipale, 38 (olim 40)",F-CA 38,,,,13th century (1225-1250),Cambrai,,,,,,,http://cantusdatabase.org/source/123601,Secular,,,
66,"Cambrai, Bibliothèque municipale, Impr. XVI C 4",F-CA Impr. XVI C 4,,,,16th century (1500-1525),Cambrai,,,,,,,http://cantusdatabase.org/source/123602,Secular,,,
67,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412",F-Pn NAL 1412,,,,12th century (1175-1200),Milan,,,,,,,http://cantusdatabase.org/source/123678,Monastic,,,
68,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535",F-Pn NAL 1535,,,,13th century,Sens,,,,,,,http://cantusdatabase.org/source/123633,Secular,,,
69,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085",F-Pn Lat. 1085,,,,10th century (975-1000),St. Martial,,,,,,,http://cantusdatabase.org/source/123663,,,,
70,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044",F-Pn Lat. 12044,,,,12th century,St-Maur-des-Fossés,,,,,,,http://cantusdatabase.org/source/123628,Monastic,,,
71,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182",F-Pn Lat. 15182,,,,14th century,Paris,,,,,,,http://cantusdatabase.org/source/123632,Secular,,,
72,"Rouen, Bibliothèque municipale, 248 (olim  A. 339)",F-R 248,,,,13th century,Jumièges,,,,,,,http://cantusdatabase.org/source/123662,Monastic,,,
73,"Tours, Bibliothèque municipale, 149",F-TOm 149,,,,13th century,Tours,,,,,,,http://cantusdatabase.org/source/123640,Secular,,,
74,"Oxford, Bodleian Library, MS. Canon. Liturg. 202 (olim 19314)",GB-Ob Can. Lit. 202,,,,13th century,Germany,,,,,,,http://cantus.uwaterloo.ca/source/123687,,,,
75,"Aosta, Seminario Maggiore - Biblioteca, 6",I-AO 6,,,,13th century,"Aosta, Sant-Orso",,,,,,,http://cantusdatabase.org/source/123666,Secular,,,
76,"Benevento, Archivio Capitolare, V 20",I-BV V 20,,,,12th century,Benevento,,,,,,,http://cantusdatabase.org/source/123596,Secular,,,
77,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",I-Lc 601,,,,12th century,Pozzeveri,,,,,,,http://cantusdatabase.org/source/123680,Monastic,,,
78,"Monza, Basilica di S. Giovanni Battista - Biblioteca Capitolare e Tesoro, 15/79",I-MZ 15/79,,,,12th century,Pavia,,,,,,,http://cantusdatabase.org/source/123626,Secular,,,
79,"Piacenza, Basilica di S. Antonino - Biblioteca e Archivio Capitolari, 65",I-PCsa 65,,,,12th century,Piacenza,,,,,,,http://cantus.uwaterloo.ca/source/123634,Secular,,,
80,Münster Antiphoner (1537),MA Impr. 1537,,,,16th century (1525-1550),Muenster,,,,,,,http://cantusdatabase.org/source/123724,Secular,,,
81,"Wroclaw, Biblioteka Uniwersytecka (University Library), I F 401",PL-WRu I F 401,,,,13th century (1275-1300),Lubiąż,,,,,,,http://cantusdatabase.org/source/589069,Monastic,,,
82,"Wrocław, Biblioteka Uniwersytecka, Ms. R 503",PL-WRu R 503,,,,14th century (2nd half),Wrocław,,,,,,,http://cantusdatabase.org/source/123756,Secular,,,
83,Antiphonarium Hymnarium P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 025,P-AR Res. Ms. 025,,,, c. 1200,"Alcobaça, Mosteiro de Santa Maria?",,,,,,,https://pemdatabase.eu/source/46683,Monastic,,,
84,CZ-Bu (Brno) R 387,CZ-Bu R 387,,,,12th century,Rajhrad,,,,,,,http://cantusbohemiae.cz/source/2150,,,,
85,CZ-Pu (Praha) VI E 13,CZ-Pu VI E 13,,,,12th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/2152,Monastic,,,
86,CZ-R (Rajhrad) R 17,CZ-R R 17,,,,14th century,Rajhrad,,,,,,,http://cantusbohemiae.cz/source/2161,,,,
87,CZ-Pu (Praha) XIV C 20,CZ-Pu XIV C 20,,,,14th century,St George's Convent in Prague ,,,,,,,http://cantusbohemiae.cz/source/9137,Monastic,,,
88,SK-BRsa (Bratislava) Slovenský národný archív Antiphonary of Bratislava V,SK-BRsa SNA 17,,,,15th century,Bohemia,,,,,,,http://cantus.sk/source/6775,,,,
89,"E-H, Archivo de la Catedral de Huesca, ms. 9","E-H, ms. 9",,,,13th century,Huesca,,,,,,,http://musicahispanica.eu/source/20420,,,,
90,"E-Mh (Madrid) E-Mh, Cód. 18","E-Mh E-Mh, Cód. 18",,,,12th century,"Monasterio de San Millán de la Cogolla, La Rioja.",,,,,,,http://musicahispanica.eu/source/20167,,,,
91,"E-Mh (Madrid) E-Mh, Cód. 45","E-Mh E-Mh, Cód. 45",,,,12th century,"Monasterio de San Millán de la Cogolla, La Rioja.",,,,,,,http://musicahispanica.eu/source/20168,,,,
92,GB-Lbl (London) Add MS 30850,GB-Lbl Add MS 30850,,,,11th century,Ascribed to Santo Domingo de Silos (see 'Description' above),,,,,,,http://musicahispanica.eu/source/20199,,,,
93,Antifonario de la Santa Cruz de Serós,Antifonario Antifonario de la Santa Cruz de Serós,,,,12th century,Monasterio de Santa Cruz de la Serós (Huesca),,,,,,,http://musicahispanica.eu/source/59988,,,,
94,GB-Lbl (London) Add MS 30848,GB-Lbl Add MS 30848,,,,11th century,Santo Domingo de Silos,,,,,,,http://musicahispanica.eu/source/74655,,,,
95,NL-Lu : BPL 0025,NL-Lu BPL 0025,,,,9th century,Bretagne ?,,,,,,,http://musmed.eu/source/15927,,,,
96,GB-Lbl : Harley 4951,GB-Lbl Harley 4951,,,,11th century,Saint-Sernin de Toulouse,,,,,,,http://musmed.eu/source/29527,,,,
97,F-Pn : Lat. 903,F-Pn Lat. 903,,,,11th century,Saint Yrieix,,,,,,,http://musmed.eu/source/13022,,,,
98,F-Pn : Lat. 1121,F-Pn Lat. 1121,,,,11th century,St. Martial de Limoges,,,,,,,http://musmed.eu/source/13060,,,,
99,A-KN Fragm. 19 Antiphonarium,A-KN Fragm. 19,,,,12th century,Klosterneuburg,,,,,,,http://austriamanus.org/source/22,,,,
100,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42",TR-Itks 42,,,,,Esztergom,,,,,,,http://cantusdatabase.org/source/123706,Secular,,,
101,"Wien, Diözesanarchiv, C-10",A-Wda C-10,,,,15th century,Kirnberg,,,,,,,http://cantusdatabase.org/source/123644,,,,
102,"E-E (San Lorenzo de El Escorial) E-E, L. III. 4.","E-E E-E, L. III. 4.",,,,12th century,monasterio benedictino en Aragón?,,,,,,,http://musicahispanica.eu/source/20155,,,,
103,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1013",A-KN 1013,,,,12th century,Klosterneuburg,,,,,,,http://cantusdatabase.org/source/123614,Secular,,,
104,"Wien, Diözesanarchiv, D-4",A-Wda D-4,,,,15th century,Kirnberg,,,,,,,http://cantusdatabase.org/source/123649,,,,
105,"Einsiedeln, Stiftsbibliothek, Codex 121",CH-E 121,,,,10th century,Einsiedeln,,,,,,,http://cantusdatabase.org/source/666647,Monastic,,,
106,"Fulda, Hessische Landesbibliothek, Aa 55",D-FUl Aa 55,,,,14th century,Rasdorf,,,,,,,http://cantusdatabase.org/source/123685,Secular,,,
107,"Köln (Cologne), Erzbischöfliche Diözesan- und Dombibliothek, 215",D-KNd 215,,,,12th century,Würzburg,,,,,,,http://cantusdatabase.org/source/123741,Monastic,,,
108,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411",F-Pn NAL 1411,,,,12th century (2nd half),Milan,,,,,,,http://cantusdatabase.org/source/123677,Monastic,,,
109,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181",F-Pn Lat. 15181,,,,14th century,Paris,,,,,,,http://cantusdatabase.org/source/123631,Secular,,,
110,"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)",F-SO 596,,,,13th century (1275-1300),English,,,,,,,http://cantusdatabase.org/source/620437,Monastic,,,
111,"London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",GB-Lbl IB.6753,,,,15th century (1475-1500),Augsburg,,,,,,,http://cantusdatabase.org/source/123668,Secular,,,
