id,title,siglum,description,rism,date,century,provenance,provenance_detail,segment,summary,indexing_notes,liturgical_occasions,indexing_date,drupal_path,cursus,image_link,n_cantus_chants,n_cantus_melodies
165,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",B-TO olv 63,,,,14th century (1375-1400),Tongeren,,,,,,,http://cantusdatabase.org/source/123664,Secular,,,
166,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",B-TO olv 64,,,,14th century (1375-1400),Tongeren,,,,,,,http://cantusdatabase.org/source/123665,Secular,,,
167,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu M2149.L4,,,,16th century (1550-1575),Salzinnes,,,,,,,http://cantusdatabase.org/source/123723,Monastic,,,
168,"Köln, Erzbischöfliche Diözesan- und Dombibliothek, 1161",D-KNd 1161,,,,,Köln,,,,,,,http://cantusdatabase.org/source/601861,Monastic,,,
169,"Mainz, Bischöfliches Dom- und Diözesanmuseum, E",D-MZb E,,,,15th century (1425-1450),Mainz,,,,,,,http://cantusdatabase.org/source/123624,Secular,,,
170,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [14] XIV",DK-Kk 3449 8o [14] XIV,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123702,Secular,,,
171,"Paris, Bibliothèque nationale de France,  Latin 9488, ff. 33-37 (fragment)",F-Pnm Lat. 9488 ff. 33-37 (fragment),,,,,Rheinland,,,,,,,http://cantus.uwaterloo.ca/source/701050,,,,
172,"Budapest, Egyetemi Könyvtár (University Library), lat. 122",H-Bu lat. 122,,,,14th century,Franciscan,,,,,,,http://cantusdatabase.org/source/123600,Secular,,,
173,"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542",I-MC 542,,,,12th century,Montecassino,,,,,,,http://cantusdatabase.org/source/123625,Secular,,,
174,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.2 (rkp. Perg. 14)",PL-Kkar 2 (Rkp 14),,,,,Kraków,,,,,,,http://cantusdatabase.org/source/123708,Secular,,,
175,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)",PL-Kkar 5 (Rkp 13),,,,15th century,Kraków,,,,,,,http://cantusdatabase.org/source/123711,Secular,,,
176,E-Sco (Sevilla) Institución Colombina Libro 13,E-Sco Libro 013,,,,"16th century (first half, with revisions)","Sevilla (E), Catedral",,,,,,,https://pemdatabase.eu/source/66993,Secular,,,
177,SK-BRnm (Bratislava) MUS I 11,SK-BRnm MUS I 11,,,,14th century,Slovakia,,,,,,,http://cantus.sk/source/211,,,,
178,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IV,SK-BRsa SNA 2,,,,15th century,Bratislava,,,,,,,http://cantus.sk/source/2284,,,,
179,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IIb,SK-BRsa SNA 4,,,,15th century,Bratislava,,,,,,,http://cantus.sk/source/3192,,,,
180,"E-E (San Lorenzo de El Escorial) E-E, L. III. 3.","E-E E-E, L. III. 3.",,,,12th century,San Juan de la Peña,,,,,,,http://musicahispanica.eu/source/20154,,,,
181,GB-Lbl (London) Add MS 30847,GB-Lbl Add MS 30847,,,,11th century,Silos,,,,,,,http://musicahispanica.eu/source/72835,,,,
182,E-Gs (Girona) ms. 45,"E-Gs ms. 45 (olim Sant Feliu, 20)",,,,12th century,Colegiata de Sant Feliu de Girona,,,,,,,http://musicahispanica.eu/source/22303,,,,
183,F-CH : Ms 0050,F-CH Ms 0050,,,,13th century,Collection Standish,,,,,,,http://musmed.eu/source/23756,,,,
184,F-Pn : NAL 01236,F-Pn NAL 01236,,,,12th century,Nevers,,,,,,,http://musmed.eu/source/13535,Romanum,,,
185,F-Pn : Lat. 904,F-Pn Lat. 904,,,,13th century,Cathédrale de Rouen,,,,,,,http://musmed.eu/source/13023,,,,
186,"Praha (Prague), Strahovská knihovna (Library of the Royal Canonry of Premonstratensians at Strahov), DE I 7",CZ-Pst DE I 7,,,,,Esztergom,,,,,,,http://cantusdatabase.org/source/649450,Secular,,,
187,"Mainz, Bischöfliches Dom- und Diözesanmuseum, B",D-MZb B,,,,15th century (1425-1450),Mainz,,,,,,,http://cantusdatabase.org/source/123621,Secular,,,
188,"München, Bayerische Staatsbibliothek, Clm 4303",D-Mbs Clm 4303,,,,,Augsburg,,,,,,,http://cantusdatabase.org/source/123681,Monastic,,,
189,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [05] V",DK-Kk 3449 8o [05] V,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123693,Secular,,,
190,"Salamanca, Catedral - Archivo Musical, 5",E-SA 5,,,,14th century,Salamanca,,,,,,,http://cantusdatabase.org/source/123636,Secular,,,
191,"Budapest, Egyetemi Könyvtár (University Library), lat. 118",H-Bu lat. 118,,,,14th century,Franciscan,,,,,,,http://cantusdatabase.org/source/123597,Secular,,,
192,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5",HR-Hf Cod. D,,,,15th century (2nd half),Venice,,,,,,,http://cantusdatabase.org/source/123720,Secular,,,
193,P-BRs (Braga) Arquivo da Sé Ms. 032,P-BRs Ms. 032,,,,16th century (first quarter),"Braga, Catedral",,,,,,,https://pemdatabase.eu/source/47990,Secular,,,
194,SK-BRsa Antiphonarium Scepusiense Protocol 1550-1557,SK-BRsa Spis 1550,,,,15th century,Slovakia - Spišská Kapitula,,,,,,,http://cantus.sk/source/13837,,,,
195,SK-Bra (Bratislava) EC Lad.1/2,SK-Bra ECLad.1/2,,,,13th century,Germany,,,,,,,http://cantus.sk/source/10948,,,,
196,"PL-PŁsem MsEPl 12 Antyfonarz z Płocka, pars de tempore",MsEPl 12,,,,15th century,Płock,,,,,,,http://cantus.ispan.pl/source/14457,,,,
197,"E-H, Archivo de la Catedral de Huesca, ms. 7","E-H, Ms. 7 (ant. 5)",,,,13th century,Huesca,,,,,,,http://musicahispanica.eu/source/20425,,,,
198,"E-H Archivo de la Catedral de Huesca, ms. 2",E-H Ms. 2,,,,12th century,Auch,,,,,,,http://musicahispanica.eu/source/22495,,,,
199,"E-Bbc (Barcelona) E-Bbc, M 705","E-Bbc E-Bbc, M 705",,,,14th century,Sant Cugat (Barcelona),,,,,,,http://musicahispanica.eu/source/20228,,,,
200,"Dendermonde, Sint-Pieters-en Paulusabdij, ms. 9",B-DEa 9,,,,12th century (2nd half),Rupertsberg,,,,,,,http://cantusdatabase.org/source/588309,,,,
201,"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex)",D-WI1 2,,,,12th century (1175-1200),Rupertsberg,,,,,,,http://cantusdatabase.org/source/588308,,,,
202,"Budapest, Egyetemi Könyvtár (University Library), lat. 119",H-Bu lat. 119,,,,14th century,Franciscan,,,,,,,http://cantusdatabase.org/source/123598,Secular,,,
203,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6",HR-Hf Cod. F,,,,15th century (2nd half),Venice,,,,,,,http://cantusdatabase.org/source/123722,Secular,,,
204,SK-BJ (Bardejov) Antiphonarium MMBJ 2285,SK-BJ (Bardejov) MMBJ 2285,,,,14th century,Hungary,,,,,,,http://cantus.sk/source/29802,,,,
205,"Paris, Bibliothèque nationale de France, NAL 2444, f.60",F-Pnm NAL 2444 f.60,,,,,France,,,,,,,http://cantus.uwaterloo.ca/source/706887,,,,
206,"Sydney, University of Sydney, Fisher Library, Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",AUS-Sfl Add. Ms. 413,,,,16th century (2nd half),Spain,,,,,,,http://cantusdatabase.org/source/669163,Secular,,,
207,"Sydney, University of Sydney, Fisher Library, Rare Books & Special Collections, Add.Ms. 327",AUS-Sfl Add.Ms. 327,,,,,Spain,,,,,,,http://cantus.uwaterloo.ca/source/674508,Secular,,,
208,"Mainz, Bischöfliches Dom- und Diözesanmuseum, A",D-MZb A,,,,15th century (1425-1450),Mainz,,,,,,,http://cantusdatabase.org/source/123620,Secular,,,
209,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [02] II",DK-Kk 3449 8o [02] II,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123690,Secular,,,
210,"Salamanca, Catedral - Archivo Musical, 6",E-SA 6,,,,14th century,Salamanca,,,,,,,http://cantusdatabase.org/source/123650,Secular,,,
211,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4",HR-Hf Cod. C,,,,15th century (2nd half),Venice,,,,,,,http://cantusdatabase.org/source/123719,Secular,,,
212,"Città del Vaticano (Roma), Biblioteca Apostolica Vaticana, Cappella Sistina 27",V-CVbav Capp.Sist. 27,,,,,Rome (Roma),,,,,,,http://cantusdatabase.org/source/123605,,,,
213,"PL-Wn  12720 V Antyfonarz opata Mścisława z Tyńca, pars de tempore", rps 12720 V,,,,15th century,Tyniec,,,,,,,http://cantus.ispan.pl/source/13720,,,,
214,"E-SAu (Salamanca) Universidad, Archivo y Biblioteca Ms 2637",E-SAu Ms 2637,,,,12th century (second half),Astorga?,,,,,,,https://pemdatabase.eu/source/48357,,,,
215,"E-Mh (Madrid) E-Mh, Cód. 51","E-Mh E-Mh, Cód. 51",,,,12th century,"Monasterio de San Millán de la Cogolla, La Rioja.",,,,,,,http://musicahispanica.eu/source/20169,,,,
216,"E-LEc (Lérida) ms. 36 (olim ms. 16, ms. 14)","E-LEc ms. 36 (olim ms. 16, ms. 14)",,,,11th century,Roda de Isábena,,,,,,,http://musicahispanica.eu/source/28694,,,,
217,CZ-Pu (Praha) XII E 15c,CZ-Pu XII E 15c,,,,14th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/9190,Monastic,,,
218,CZ-Pu (Praha) XIII C 1a,CZ-Pu XIII C 1a,,,,,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/22179,Monastic,,,
219,"London (Canada), University of Western Ontario - Music Library, M2150",CDN-Lu M2150,,,,16th century,Burgos (?),,,,,,,http://cantusdatabase.org/source/123619,Secular,,,
220,"Montréal, McGill University - Rare Books and Special Collections - Manuscript Collection, MS Medieval 0073",CDN-Mlr MS Medieval 0073,,,,,Dominican,,,,,,,http://cantusdatabase.org/source/680970,Secular,,,
221,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [07] VII",DK-Kk 3449 8o [07] VII,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123695,Secular,,,
222,"Kansas City, Miller Nichols Library, LaBudde Special Collections M2149.2 .V4 1629",US-KClbsc M2149.2 .V4 1629,,,,17th century (1st half),Spain,,,,,,,http://cantus.uwaterloo.ca/source/710152,Secular,,,
223,P-BRs (Braga) Arquivo da Sé Ms. 034,P-BRs Ms. 034,,,,1510-1515,"Braga, Catedral",,,,,,,https://pemdatabase.eu/source/47612,,,,
224,SK-Bra (Bratislava) Antiphonary of Bratislava IIa EC Lad.4,SK-Bra BAIIa EC Lad.4,,,,15th century,Bratislava,,,,,,,http://cantus.sk/source/12363,,,,
225,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [17] XVII",DK-Kk 3449 8o [17] XVII,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123705,Secular,,,
226,"Porrentruy, Bibliothèque cantonale jurassienne, 18",CH-P 18,,,,12th century,Bellelay Abbey,,,,,,,http://cantusdatabase.org/source/638308,Monastic,,,
227,"Göttingen, Stadtarchiv, AB III 9",D-Gsta AB III 9,,,,,Germany,,,,,,,http://cantus.uwaterloo.ca/source/682632,,,,
228,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1240",F-Pn Lat. 1240,,,,10th century,St-Martial,,,,,,,http://cantusdatabase.org/source/123629,,,,
229,"Princeton , Princeton University Archive, Princeton MS. 245",US-PRu Princeton MS. 245,,,,13th century (2nd half),Dominican,,,,,,,http://cantus.uwaterloo.ca/source/691366,,,,
230,P-Ln (Lisboa) Biblioteca Nacional de Portugal Iluminado 084,P-Ln Iluminado 084,,,,c. 1400 (after 1297),Sens (F),,,,,,,https://pemdatabase.eu/source/52642,,,,
231,CZ-Pn (Praha) XIV D 12,CZ-Pn XIV D 12,,,,12th century,Bohemia (Prague?),,,,,,,http://cantusbohemiae.cz/source/4807,,,,
232,SK-BRnm (Bratislava) Slovenské národné múzeum - Hudobné múzeum Graduale,SK-BRnm MUS I 78,,,,15th century,Moravia,,,,,,,http://cantus.sk/source/19263,,,,
233,SK-Lap (Levoča) Antiphonarium MMLE XXII/308,SK-Lap (Levoča) MMLE XXII/308,,,,16th century,Hungary,,,,,,,http://cantus.sk/source/29833,,,,
234,SK-Lap (Levoča) Antiphonarium MMLE XXII/256,SK-Lap (Levoča) MMLE XXII/256,,,,14th century,Hungary,,,,,,,http://cantus.sk/source/29838,,,,
235,D-KWsr : Drachenfels-Missale,D-KWsr Drachenfels-Missale,,,,13th century,Heisterbach,,,,,,,http://musmed.eu/source/11578,,,,
236,V-CVbav : Archivio di San Pietro F.22,V-CVbav Archivio di San Pietro F.22,,,,13th century,"Italie, Roma, S. Pietro",,,,,,,http://musmed.eu/source/14749,,,,
237,CH-SGs : Cod 0338,CH-SGs Cod 0338,,,,11th century,St Gallen,,,,,,,http://musmed.eu/source/14272,,,,
238,CH-SGs : Cod 0342,CH-SGs Cod 0342,,,,10th century,St Gallen,,,,,,,http://musmed.eu/source/14275,,,,
239,F-AUT : Ms S 0012 (11),F-AUT Ms S 0012 (11),,,,12th century,Nord-Est de l’Ile de France,,,,,,,http://musmed.eu/source/8575,,,,
240,F-Pn : Lat. 833,F-Pn Lat. 833,,,,12th century,Adapté à l’ordinaire de Prémontré au XVe s,,,,,,,http://musmed.eu/source/13007,,,,
241,F-Pn : Lat. 17307,F-Pn Lat. 17307,,,,12th century," Ex-libris S. Cornelii Compend. Congr. S. Mauri, XVIIe s., f. 1 Compiègne",,,,,,,http://musmed.eu/source/13489,,,,
242,CH-SGs : Cod 0375,CH-SGs Cod 0375,,,,12th century,St Gallen,,,,,,,http://musmed.eu/source/14287,,,,
243,F-Pa : Ms 0197,F-Pa Ms 0197,,,,13th century,"France, Paris, Abbaye Saint-Victor de Paris",,,,,,,http://musmed.eu/source/98760,,,,
244,NL-Uu : Hs. 0062,NL-Uu Hs. 0062,,,,13th century,Utrecht,,,,,,,http://musmed.eu/source/144306,,,,
245,F-PR : Ms 0012,F-PR Ms 0012,,,,13th century,Chartres,,,,,,,http://musmed.eu/source/14008,,,,
246,V-CVbav : Ross.0076,V-CVbav Ross.0076,,,,13th century,"Italie, Aquileia",,,,,,,http://musmed.eu/source/98746,,,,
247,F-LA : Ms 0263,F-LA Ms 0263,,,,12th century,A l’usage de la cathédrale Notre-Dame de Laon,,,,,,,http://musmed.eu/source/11602,,,,
248,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [10] X",DK-Kk 3449 8o [10] X,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123698,Secular,,,
249,SK-Brl (Bratislava) Lyc F I 210,SK-BRl Lyc FI210,,,,15th century,"Central Europe (Poland, Slovakia)",,,,,,,http://cantus.sk/source/4987,,,,
250,F-SO : Ms 0334,F-SO Ms 0334,,,,13th century,Cluny,,,,,,,http://musmed.eu/source/14251,Monastic,,,
251,A-KN Fragm. 401 Antiphonarium,A-KN Fragm. 401,,,,12th century,Austria/Germany,,,,,,,http://austriamanus.org/source/91,,,,
252,"Paris, Bibliothèque nationale de France, Latin 11411, ff. 37-38 (fragment)",F-Pnm Lat.11411 ff. 37-38 (fragment),,,,,France,,,,,,,http://cantus.uwaterloo.ca/source/701002,Secular,,,
253,SK-BSa (Banská Štiavnica) Spitalls Raittung der Gemeiner Stadt Schemnitz 1600-1601 (sine Sign.),SK-BSa 1600-1601,,,,14th century,Slovakia,,,,,,,http://cantus.sk/source/125,,,,
254,F-CA : Ms 0061 (62),F-CA Ms 0061 (62),,,,12th century,"Lille, St-Pierre",,,,,,,http://musmed.eu/source/9071,,,,
255,GB-Lbl : Harley 1117,GB-Lbl Harley 1117,,,,10th century,"Angleterre, Canterbury, Christ Church Cathedral ?",,,,,,,http://musmed.eu/source/11745,Monastic,,,
256,I-Rn : Ms.Sess.96,I-Rn Ms.Sess.96,,,,9th century,Nonantola,,,,,,,http://musmed.eu/source/17337,Monastic,,,
257,PL-STAb 2 Antiphonarium,ms. 2,,,,16th century,Staniątki,,,,,,,http://cantus.ispan.pl/source/21623,,,,
258,PL-Wn 12496 IV Graduale cisterciense,Rps 12496 IV,,,,13th century,Silesia,,,,,,,http://cantus.ispan.pl/source/33686,,,,
259,PL-WRu I F 414 Cistercian Gradual (Silesia),I F 414,,,,13th century,"Cistercian, Lubiąż (Silesia)",,,,,,,http://cantus.ispan.pl/source/36027,,,,
260,"D-HEu : Cod. Sal. X,007","D-HEu Cod. Sal. X,007",,,,13th century," Allemagne, Salem",,,,,,,http://musmed.eu/source/17266,,,,
261,"Great Britain, Corpus Christi College, Cambridge, MS. 146",GB-Ccc MS. 146,,,,11th century,English,,,,,,,http://cantus.uwaterloo.ca/source/674988,Secular,,,
262,F-AI : Ms 0044,F-AI Ms 0044,,,,9th century,"France, Diocèse d'Albi, Albi, Cathédrale Sainte Cécile d'Albi",,,,,,,http://musmed.eu/source/8386,Romanum,,,
263,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [08] VIII",DK-Kk 3449 8o [08] VIII,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123696,Secular,,,
264,"Kansas City (MO), University of Missouri-Kansas City, LaBudde Special Collections - Miller Nichols Library, M2147.C53 1500z",US-KClbsc M2147.C53 1500z,,,,,Spain,,,,,,,http://cantusdatabase.org/source/699262,Monastic,,,
265,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [15] XV",DK-Kk 3449 8o [15] XV,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123703,Secular,,,
266,P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 021,P-AR Res. Ms. 021,,,,c. 1200,"Arouca, Mosteiro de Santa Maria",,,,,,,https://pemdatabase.eu/source/62867,Monastic,,,
267,Liber CatenatusP-Cua (Coimbra) Arquivo Distrital e da Universidade...,P-Cua Cofre 27,,,,mid 14th century,Coimbra,,,,,,,http://pemdatabase.eu/source/46520,Secular,,,
268,P-Cua (Coimbra) Arquivo Distrital e da Universidade IV-3ª Gav. 44 (20),P-Cua IV-3ª Gav. 44 (20),,,,c. 1100,"Coimbra, Colégio de Jesus",,,,,,,https://pemdatabase.eu/source/46573,Secular,,,
269,"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 8 ANTIPHONARIUM Sign. K0000/08022, HK 08022",SK-BEt K0000/08022,,,,15th century,Central Europe,,,,,,,http://cantus.sk/source/29074,,,,
270,"E-TZ, Archivo de Música de la Catedral de Tarazona, Ms. 18","E-TZ, Ms. 18",,,,15th century,Tarazona,,,,,,,http://musicahispanica.eu/source/23205,,,,
271,"E-BAR, Archivo Diocesano de Barbastro, Antifonario s.s.","E-BAR, s.s.",,,,15th century,Barbastro,,,,,,,http://musicahispanica.eu/source/27599,,,,
272,SK-BRsa Inv.Nr. 176,SK-BRsa Palffy 176,,,,15th century,Hungary,,,,,,,http://cantus.sk/source/13692,,,,
273,CZ-Pu (Praha) XIII C 7,CZ-Pu XIII C 7,,,,14th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/2155,Monastic,,,
274,CZ-Pu (Praha) XXIII D 156 ,CZ-Pu XXIII D 156 ,,,,13th century,St George's convent in Prague,,,,,,,http://cantusbohemiae.cz/source/9308,Monastic,,,
275,F-Pn : Lat. 12239,F-Pn Lat. 12239,,,,11th century,Corbie,,,,,,,http://musmed.eu/source/13391,,,,
276,SK-BRsa Antiphonarium Bibliotheca Capituli Posoniensis Manus. 192,SK-BRsa Manus.192,,,,15th century,Slovakia / Hungary,,,,,,,http://cantus.sk/source/13896,,,,
277,CZ-Pu (Praha) XIV G 46,CZ-Pu XIV G 46,,,,14th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/9194,Monastic,,,
278,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [09] IX",DK-Kk 3449 8o [09] IX,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123697,Secular,,,
279,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [16] XVI",DK-Kk 3449 8o [16] XVI,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123704,Secular,,,
280,"Bibliothèque nationale de France, Département des manuscrits, Latin 943 ",F-Pnm lat. 943,,,,10th century (2nd half),English,,,,,,,http://cantus.uwaterloo.ca/source/672486,Secular,,,
281,"Chicago, Art Institute of Chicago, Mrs. William E. Kelley Collection, 1911.142b",US-Cai 1911.142b,,,,,Dominican,,,,,,,http://cantusdatabase.org/source/669030,Monastic,,,
282,PL-WRu I F 413 Cistercian Gradual (Silesia),I F 413,,,,14th century,"Cistercians, Lubiąż (Silesia) - Cistercians, Kamieniec Ząbkowicki (Silesia)",,,,,,,http://cantus.ispan.pl/source/39360,,,,
283,SK-KO (Košice) Breviarium Fragm. MUSIC a,SK-KO (Košice) Fragm. MUSIC a,,,,15th century,medieval Hungary (Spiš),,,,,,,http://cantus.sk/source/31253,,,,
284,F-Pn : Lat. 780,F-Pn Lat. 780,,,,11th century,Cathédrale d'Arles; Colbert 1686; Regius 3880b,,,,,,,http://musmed.eu/source/12990,,,,
285,Reconstitution : Sacramentaire de Tours (TU1),Reconstitution Sacramentaire de Tours (TU1),,,,9th century,à l'usage de l'église de Tours,,,,,,,http://musmed.eu/source/29529,,,,
286,SK-BRnm (Bratislava) MUS I 3,SK-BRnm MUS I 3,,,,15th century,Slovakia,,,,,,,http://cantus.sk/source/204,,,,
287,SK-BRsa Inv.Nr. 193/1-2,SK-BRsa Palffy 193,,,,15th century,Slovakia,,,,,,,http://cantus.sk/source/13695,,,,
288,"E-H, Archivo de la Catedral de Huesca, ms. 8","E-H, ms. 8",,,,13th century,Huesca,,,,,,,http://musicahispanica.eu/source/20426,,,,
289,"New York, Columbia University - Rare Book and Manuscript Library, Plimpton MS 041",US-NYcub Plimpton MS 041,,,,15th century (1450-1475),Italy,,,,,,,http://cantusdatabase.org/source/589026,Monastic,,,
290,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [12] XII",DK-Kk 3449 8o [12] XII,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123700,Secular,,,
291,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [13] XIII",DK-Kk 3449 8o [13] XIII,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123701,Secular,,,
292,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 7-8, 62-65 (fragment)","F-Pnm NAL 2444, ff. 7-8, 62-65 (fragment)",,,,,Germany,,,,,,,http://cantus.uwaterloo.ca/source/697990,,,,
293,"Washington, D.C., The Library of Congress - Music Division, M2.1 X M1",US-Wc M2.1 X M1,,,,,Southern Germany / Austria,,,,,,,http://cantus.uwaterloo.ca/source/706318,Monastic,,,
294,US-NHub : Beinecke MS 0712.077,US-NHub Beinecke MS 0712.077,,,,10th century,Allemagne,,,,,,,http://musmed.eu/source/12573,,,,
295,F-Pn : Lat. 12584,F-Pn Lat. 12584,,,,11th century,Saint-Maur-des-Fossés,,,,,,,http://musmed.eu/source/13399,Monastic,,,
296,A-KN Fragm. 10 Antiphonarium,A-KN Fragm. 10,,,,12th century,Klosterneuburg,,,,,,,http://austriamanus.org/source/13,,,,
297,F-Pn : Lat. 17436,F-Pn Lat. 17436,,,,9th century,Abbaye Saint-Corneille de Compiègne,,,,,,,http://musmed.eu/source/13502,Romanum,,,
298,E-Sco (Sevilla) Institución Colombina Libro 69,E-Sco Libro 069,,,,15th century (second half),"Sevilla (E), Catedral",,,,,,,https://pemdatabase.eu/source/61848,Secular,,,
299,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 21-24 (fragment)",F-Pnm NAL 2444 ff. 21-24 (fragment),,,,,Italy,,,,,,,http://cantus.uwaterloo.ca/source/698701,,,,
300,A-KN Fragm. 37 Breviarium,A-KN Fragm. 37,,,,13th century,Austria/Germany,,,,,,,http://austriamanus.org/source/40,,,,
301,A-KN Fragm. 38 Antiphonarium,A-KN Fragm. 38,,,,14th century,France,,,,,,,http://austriamanus.org/source/41,,,,
302,"Stadtbibliothek Weberbach Trier, Fragmentenbox 12b, Fragment 43-71 no. 64b (fragment)",D-TRs 12b 43-71 64b (fragment),,,,,Germany,,,,,,,http://cantus.uwaterloo.ca/source/695128,Secular,,,
303,"SK-BRsa Arm. VI, Lad. 3, Fasc. 4, Nr. 8",SK-BRsa Palffy VI 3 4 8,,,,14th century,Central Europe,,,,,,,http://cantus.sk/source/13700,,,,
304,SK-BRsa Acta anni Sedlak Nr. 10,SK-BRsa Leles 10,,,,14th century,Slovakia / Hungary,,,,,,,http://cantus.sk/source/13704,,,,
305,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [03] III",DK-Kk 3449 8o [03] III,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123691,Secular,,,
306,SK-PREa (Prešov) Breviarium 1,SK-PREa (Prešov) Zb. ilum. 4 ,,,,14th century,Hungary,,,,,,,http://cantus.sk/source/29824,,,,
307,GB-Lbl : Egerton 0857,GB-Lbl Egerton 0857,,,,11th century,"Nord de la France, Noyon",,,,,,,http://musmed.eu/source/29583,,,,
308,SK-Brl (Bratislava) A 11587,SK-BRl A 11587,,,,15th century,Central Europe,,,,,,,http://cantus.sk/source/4990,,,,
309,"SK-BEt (Betliar) Slovenské národné múzeum - Múzeum Betliar 10 ANTIPHONARIUM Sign. K0000/10692, HK 10692",SK-BEt K0000/10692,,,,15th century,Central Europe (Poland/ Slovakia?),,,,,,,http://cantus.sk/source/29076,,,,
310,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [04] IV",DK-Kk 3449 8o [04] IV,,,,16th century (1575-1600),Augsburg,,,,,,,http://cantusdatabase.org/source/123692,Secular,,,
311,F-Pn : NAL 01235,F-Pn NAL 01235,,,,12th century,Nevers,,,,,,,http://musmed.eu/source/13534,,,,
312,CZ-Pu (Praha) XII E 15b,CZ-Pu XII E 15b,,,,14th century,St George's Convent in Prague,,,,,,,http://cantusbohemiae.cz/source/9189,Monastic,,,
313,F-ME : Ms 0732 bis (Pièce 17),F-ME Ms 0732 bis (Pièce 17),,,,13th century,Registre de la paroisse Saint-Eucaire,,,,,,,http://musmed.eu/source/21714,,,,
314,"Trier, Bistumsarchiv, Abt. 95, Nr. 5","D-TRb Abt. 95, Nr. 5",,,,10th century (975-1000),Eichstätt,,,,,,,http://cantusdatabase.org/source/123757,Secular,,,
315,SK-Bra (Bratislava) EC Lad.1/22,SK-Bra ECLad.1/22,,,,15th century,Central Europe,,,,,,,http://cantus.sk/source/10954,,,,
