,drupal_path,title,siglum,century,num_century,provenance_id
50,http://cantus.uwaterloo.ca/source/123612,"Karlsruhe, Badische Landesbibliothek - Musikabteilung, Aug. LX",D-KA Aug. LX,12th century,12,provenance_217
51,http://cantus.uwaterloo.ca/source/641834,"Leipzig, Universitätsbibliothek, Rep. I 93",D-LEu Rep. I 93,10th century (900-925),10,provenance_096
52,http://cantus.uwaterloo.ca/source/123637,"Stuttgart, Württembergische Landesbibliothek, HB.I.55",D-Sl HB.I.55,12th century,12,provenance_207
53,http://cantus.uwaterloo.ca/source/123694,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [06] VI",DK-Kk 3449 8o [06] VI,16th century (1575-1600),16,provenance_016
54,http://cantus.uwaterloo.ca/source/123699,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [11] XI",DK-Kk 3449 8o [11] XI,16th century (1575-1600),16,provenance_016
55,http://cantus.uwaterloo.ca/source/123593,"Arras, Bibliothèque municipale, 893 (olim 465)",F-AS 893,14th century,14,provenance_014
56,http://cantus.uwaterloo.ca/source/123601,"Cambrai, Bibliothèque municipale, 38 (olim 40)",F-CA 38,13th century (1225-1250),13,provenance_029
57,http://cantus.uwaterloo.ca/source/123602,"Cambrai, Bibliothèque municipale, Impr. XVI C 4",F-CA Impr. XVI C 4,16th century (1500-1525),16,provenance_029
58,http://cantus.uwaterloo.ca/source/123678,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412",F-Pn NAL 1412,12th century (1175-1200),12,provenance_097
59,http://cantus.uwaterloo.ca/source/123633,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535",F-Pn NAL 1535,13th century,13,provenance_160
60,http://cantus.uwaterloo.ca/source/123663,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085",F-Pn Lat. 1085,10th century (975-1000),10,provenance_176
61,http://cantus.uwaterloo.ca/source/123628,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044",F-Pn Lat. 12044,12th century,12,provenance_167
62,http://cantus.uwaterloo.ca/source/123632,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182",F-Pn Lat. 15182,14th century,14,provenance_121
63,http://cantus.uwaterloo.ca/source/123662,"Rouen, Bibliothèque municipale, 248 (olim  A. 339)",F-R 248,13th century,13,provenance_073
64,http://cantus.uwaterloo.ca/source/123640,"Tours, Bibliothèque municipale, 149",F-TOm 149,13th century,13,provenance_190
65,http://cantus.uwaterloo.ca/source/123687,"Oxford, Bodleian Library, MS. Canon. Liturg. 202 (olim 19314)",GB-Ob Can. Lit. 202,13th century,13,provenance_060
66,http://cantus.uwaterloo.ca/source/123666,"Aosta, Seminario Maggiore - Biblioteca, 6",I-AO 6,13th century,13,
67,http://cantus.uwaterloo.ca/source/123596,"Benevento, Archivio Capitolare, V 20",I-BV V 20,12th century,12,provenance_023
68,http://cantus.uwaterloo.ca/source/123680,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",I-Lc 601,12th century,12,provenance_127
69,http://cantus.uwaterloo.ca/source/123626,"Monza, Basilica di S. Giovanni Battista - Biblioteca Capitolare e Tesoro, 15/79",I-MZ 15/79,12th century,12,provenance_123
70,http://cantus.uwaterloo.ca/source/123634,"Piacenza, Basilica di S. Antonino - Biblioteca e Archivio Capitolari, 65",I-PCsa 65,12th century,12,provenance_124
71,http://cantus.uwaterloo.ca/source/123724,Münster Antiphoner (1537),MA Impr. 1537,16th century (1525-1550),16,provenance_103
72,http://cantus.uwaterloo.ca/source/589069,"Wroclaw, Biblioteka Uniwersytecka (University Library), I F 401",PL-WRu I F 401,13th century (1275-1300),13,provenance_088
73,http://cantus.uwaterloo.ca/source/123756,"Wrocław, Biblioteka Uniwersytecka, Ms. R 503",PL-WRu R 503,14th century (2nd half),14,provenance_212
74,http://pemdatabase.eu/source/46683,Antiphonarium Hymnarium P-AR (Arouca) Museu Regional de Arte Sacra do Mosteiro de Arouca Res. Ms. 025,P-AR Res. Ms. 025, c. 1200,13,
75,http://cantusbohemiae.cz/source/2150,CZ-Bu (Brno) R 387,CZ-Bu R 387,12th century,12,
76,http://cantusbohemiae.cz/source/2152,CZ-Pu (Praha) VI E 13,CZ-Pu VI E 13,12th century,12,
77,http://cantusbohemiae.cz/source/2161,CZ-R (Rajhrad) R 17,CZ-R R 17,14th century,14,
78,http://cantusbohemiae.cz/source/9137,CZ-Pu (Praha) XIV C 20,CZ-Pu XIV C 20,14th century,14,
79,http://cantus.sk/source/6775,SK-BRsa (Bratislava) Slovenský národný archív Antiphonary of Bratislava V,SK-BRsa SNA 17,15th century,15,
80,http://musmed.eu/source/29527,GB-Lbl : Harley 4951,GB-Lbl Harley 4951,11th century,11,
81,http://musmed.eu/source/13022,F-Pn : Lat. 903,F-Pn Lat. 903,11th century,11,
82,http://musmed.eu/source/13060,F-Pn : Lat. 1121,F-Pn Lat. 1121,11th century,11,
83,http://cantus.uwaterloo.ca/source/123644,"Wien, Diözesanarchiv, C-10",A-Wda C-10,15th century,15,provenance_075
84,http://cantus.uwaterloo.ca/source/123614,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1013",A-KN 1013,12th century,12,provenance_076
85,http://cantus.uwaterloo.ca/source/123649,"Wien, Diözesanarchiv, D-4",A-Wda D-4,15th century,15,provenance_075
86,http://cantus.uwaterloo.ca/source/123685,"Fulda, Hessische Landesbibliothek, Aa 55",D-FUl Aa 55,14th century,14,provenance_135
87,http://cantus.uwaterloo.ca/source/123741,"Köln (Cologne), Erzbischöfliche Diözesan- und Dombibliothek, 215",D-KNd 215,12th century,12,provenance_213
88,http://cantus.uwaterloo.ca/source/123677,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411",F-Pn NAL 1411,12th century (2nd half),12,provenance_097
89,http://cantus.uwaterloo.ca/source/123631,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181",F-Pn Lat. 15181,14th century,14,provenance_121
90,http://cantus.uwaterloo.ca/source/620437,"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)",F-SO 596,13th century (1275-1300),13,provenance_049
91,http://cantus.uwaterloo.ca/source/123668,"London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",GB-Lbl IB.6753,15th century (1475-1500),15,provenance_016
92,http://cantus.uwaterloo.ca/source/123707,"Oxford, Bodleian Library, MS. Laud Misc. 284",GB-Ob Laud Misc. 284,12th century,12,provenance_213
93,http://cantus.uwaterloo.ca/source/123609,Gottschalk Antiphoner (fragments),GOTTSCHALK,12th century,12,provenance_081
94,http://cantus.uwaterloo.ca/source/123604,"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",I-CHV,11th century,11,provenance_035
95,http://cantusbohemiae.cz/source/28488,CZ-Pu (Praha) VI G 11,CZ-Pu VI G 11,13th century,13,
96,http://musmed.eu/source/9343,F-CHRm : Ms 0047 (40),F-CHRm Ms 0047 (40),10th century,10,
97,http://musmed.eu/source/13486,F-Pn : Lat. 17296,F-Pn Lat. 17296,12th century,12,
98,http://musmed.eu/source/13026,F-Pn : Lat. 909,F-Pn Lat. 909,11th century,11,
99,http://cantus.sk/source/6777,SK-Sk (Spišska Kapitula) Antiphonale Scepusiense,SK-Sk 2,15th century,15,
100,http://cantus.uwaterloo.ca/source/123610,"Graz, Universitätsbibliothek, 29 (olim 38/8 f.)",A-Gu 29,14th century,14,provenance_165
101,http://cantus.uwaterloo.ca/source/123727,"Praha (Prague), Národní knihovna České republiky (National Library), VI.E.4c",CZ-Pu VI.E.4c,12th century (2nd half),12,provenance_129
102,http://cantus.uwaterloo.ca/source/123730,"Praha (Prague), Národní knihovna České republiky (National Library), XIV.B.13",CZ-Pu XIV B 13,14th century,14,provenance_129
103,http://cantus.uwaterloo.ca/source/123653,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1010",A-KN 1010,12th century,12,provenance_076
104,http://cantus.uwaterloo.ca/source/123654,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1011",A-KN 1011,14th century,14,provenance_076
105,http://cantus.uwaterloo.ca/source/123655,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1015",A-KN 1015,14th century,14,provenance_076
106,http://cantus.uwaterloo.ca/source/123615,"Klosterneuburg, Augustiner-Chorherrenstift - Bibliothek, 1017",A-KN 1017,13th century,13,provenance_076
107,http://cantus.uwaterloo.ca/source/123717,"Sankt Gallen, Stiftsbibliothek, 390",CH-SGs 390,10th century (975-1000),10,provenance_174
108,http://cantus.uwaterloo.ca/source/123715,"Wolfenbüttel, Herzog August Bibliothek - Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)",D-W 29 Helmst.,16th century,16,provenance_068
109,http://cantus.uwaterloo.ca/source/123689,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I",DK-Kk 3449 8o [01] I,16th century (1575-1600),16,provenance_016
110,http://cantus.uwaterloo.ca/source/123736,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",PL-KIk 1,14th century (1350-1375),14,provenance_074
111,http://cantus.uwaterloo.ca/source/123618,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)",SI-Lna 18 (olim 17),15th century (1475-1500),15,provenance_078
112,http://cantusbohemiae.cz/source/4478,Cz-Pu (Praha) XIV A 19,CZ-Pu Pu XIV A 19,14th century,14,provenance_128
113,http://cantus.ispan.pl/source/4557,PL-Klk 1 Antyfonarz kielecki,1,14th century,14,provenance_074
114,http://cantus.ispan.pl/source/21018,PL-STAb 1 Antiphonarium,ms. 1,16th century,16,
115,http://cantus.uwaterloo.ca/source/123682,"München, Bayerische Staatsbibliothek, Clm 4304",D-Mbs Clm 4304,16th century (1500-1525),16,provenance_016
116,http://cantus.uwaterloo.ca/source/651162,"Trier, Stadtbibliothek Weberbach, 1245 / 597 (original)",D-TRs 1245 / 597 (original),09th century,9,provenance_132
117,http://cantus.uwaterloo.ca/source/662398,"Trier, Stadtbibliothek, 1245 / 597 (revised)",D-TRs 1245/597 (rev),09th century,9,provenance_132
118,http://cantus.uwaterloo.ca/source/123710,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)",PL-Kkar 4 (Rkp 20),15th century,15,provenance_077
119,http://cantus.uwaterloo.ca/source/683940,"New York, Columbia University - Barnard College Library,  MS 1",US-NYcub Barnard 1,14th century,14,provenance_071
120,http://cantus.uwaterloo.ca/source/123594,"Bamberg, Staatsbibliothek, Msc.Lit.25 (olim Ed.IV.11)",D-BAs Msc.Lit.25,13th century,13,provenance_019
121,http://cantus.uwaterloo.ca/source/123622,"Mainz, Bischöfliches Dom- und Diözesanmuseum, C",D-MZb C,15th century (1425-1450),15,provenance_090
122,http://cantusbohemiae.cz/source/2156,CZ-Pu (Praha) XIII C 4,CZ-Pu XIII C 4,14th century,14,
123,http://cantusbohemiae.cz/source/9136,CZ-Pu (Praha) XII C 3,CZ-Pu XII C 3,13th century,13,
124,http://cantus.sk/source/14828,SK-Bra (Bratislava) Antiphonary of Bratislava I EC Lad.3,SK-Bra BAI ECLad.3,15th century,15,
125,http://cantus.sk/source/14018,SK-Bra (Bratislava) Antiphonary of Bratislava III EC Lad.6,SK-Bra BAIII ECLad.6,15th century,15,
126,http://cantus.uwaterloo.ca/source/123645,"Wien, Diözesanarchiv, C-11",A-Wda C-11,15th century,15,provenance_075
127,http://cantus.uwaterloo.ca/source/123664,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 63 (olim V)",B-TO olv 63,14th century (1375-1400),14,provenance_186
128,http://cantus.uwaterloo.ca/source/123665,"Tongeren, Onze-Lieve-Vrouw-Kerk (Our Lady's Church), 64 (olim IV)",B-TO olv 64,14th century (1375-1400),14,provenance_186
129,http://cantus.uwaterloo.ca/source/123723,"Halifax (Canada), St. Mary’s University - Patrick Power Library, M2149.L4 1554",CDN-Hsmu M2149.L4,16th century (1550-1575),16,provenance_153
130,http://cantus.uwaterloo.ca/source/123624,"Mainz, Bischöfliches Dom- und Diözesanmuseum, E",D-MZb E,15th century (1425-1450),15,provenance_090
131,http://cantus.uwaterloo.ca/source/123702,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [14] XIV",DK-Kk 3449 8o [14] XIV,16th century (1575-1600),16,provenance_016
132,http://cantus.uwaterloo.ca/source/123600,"Budapest, Egyetemi Könyvtár (University Library), lat. 122",H-Bu lat. 122,14th century,14,provenance_058
133,http://cantus.uwaterloo.ca/source/123625,"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542",I-MC 542,12th century,12,
134,http://cantus.uwaterloo.ca/source/123711,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)",PL-Kkar 5 (Rkp 13),15th century,15,provenance_077
135,http://cantus.sk/source/2284,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IV,SK-BRsa SNA 2,15th century,15,
136,http://cantus.sk/source/3192,SK-BRsa (Bratislava) Slovenský národný archív - Antiphonary of Bratislava IIb,SK-BRsa SNA 4,15th century,15,
137,http://musmed.eu/source/23756,F-CH : Ms 0050,F-CH Ms 0050,13th century,13,
138,http://musmed.eu/source/13535,F-Pn : NAL 01236,F-Pn NAL 01236,12th century,12,
139,http://musmed.eu/source/13023,F-Pn : Lat. 904,F-Pn Lat. 904,13th century,13,
140,http://cantus.uwaterloo.ca/source/123621,"Mainz, Bischöfliches Dom- und Diözesanmuseum, B",D-MZb B,15th century (1425-1450),15,provenance_090
141,http://cantus.uwaterloo.ca/source/123693,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [05] V",DK-Kk 3449 8o [05] V,16th century (1575-1600),16,provenance_016
142,http://cantus.uwaterloo.ca/source/123636,"Salamanca, Catedral - Archivo Musical, 5",E-SA 5,14th century,14,provenance_151
143,http://cantus.uwaterloo.ca/source/123597,"Budapest, Egyetemi Könyvtár (University Library), lat. 118",H-Bu lat. 118,14th century,14,provenance_058
144,http://cantus.uwaterloo.ca/source/123720,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5",HR-Hf Cod. D,15th century (2nd half),15,provenance_199
145,http://pemdatabase.eu/source/47990,P-BRs (Braga) Arquivo da Sé Ms. 032,P-BRs Ms. 032,16th century (first quarter),16,
146,http://cantus.ispan.pl/source/14457,"PL-PŁsem MsEPl 12 Antyfonarz z Płocka, pars de tempore",MsEPl 12,15th century,15,
147,http://cantus.uwaterloo.ca/source/123598,"Budapest, Egyetemi Könyvtár (University Library), lat. 119",H-Bu lat. 119,14th century,14,provenance_058
148,http://cantus.uwaterloo.ca/source/123722,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6",HR-Hf Cod. F,15th century (2nd half),15,provenance_199
149,http://cantus.uwaterloo.ca/source/669163,"Sydney, University of Sydney, Fisher Library, Rare Books & Special Collections, Add. Ms. 413 (olim Add. Ms. Fol.1)",AUS-Sfl Add. Ms. 413,16th century (2nd half),16,provenance_163
150,http://cantus.uwaterloo.ca/source/123620,"Mainz, Bischöfliches Dom- und Diözesanmuseum, A",D-MZb A,15th century (1425-1450),15,provenance_090
151,http://cantus.uwaterloo.ca/source/123690,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [02] II",DK-Kk 3449 8o [02] II,16th century (1575-1600),16,provenance_016
152,http://cantus.uwaterloo.ca/source/123650,"Salamanca, Catedral - Archivo Musical, 6",E-SA 6,14th century,14,provenance_151
153,http://cantus.uwaterloo.ca/source/123719,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4",HR-Hf Cod. C,15th century (2nd half),15,provenance_199
154,http://cantus.ispan.pl/source/13720,"PL-Wn  12720 V Antyfonarz opata Mścisława z Tyńca, pars de tempore", rps 12720 V,15th century,15,
155,http://pemdatabase.eu/source/48357,"E-SAu (Salamanca) Universidad, Archivo y Biblioteca Ms 2637",E-SAu Ms 2637,12th century (second half),12,
156,http://cantusbohemiae.cz/source/9190,CZ-Pu (Praha) XII E 15c,CZ-Pu XII E 15c,14th century,14,
157,http://cantus.uwaterloo.ca/source/123619,"London (Canada), University of Western Ontario - Music Library, M2150",CDN-Lu M2150,16th century,16,provenance_028
158,http://cantus.uwaterloo.ca/source/123695,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [07] VII",DK-Kk 3449 8o [07] VII,16th century (1575-1600),16,provenance_016
159,http://cantus.uwaterloo.ca/source/710152,"Kansas City, Miller Nichols Library, LaBudde Special Collections M2149.2 .V4 1629",US-KClbsc M2149.2 .V4 1629,17th century (1st half),17,provenance_163
160,http://pemdatabase.eu/source/47612,P-BRs (Braga) Arquivo da Sé Ms. 034,P-BRs Ms. 034,1510-1515,15,
161,http://cantus.sk/source/12363,SK-Bra (Bratislava) Antiphonary of Bratislava IIa EC Lad.4,SK-Bra BAIIa EC Lad.4,15th century,15,
162,http://cantus.uwaterloo.ca/source/123705,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [17] XVII",DK-Kk 3449 8o [17] XVII,16th century (1575-1600),16,provenance_016
163,http://cantus.uwaterloo.ca/source/123629,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1240",F-Pn Lat. 1240,10th century,10,provenance_166
164,http://musmed.eu/source/11602,F-LA : Ms 0263,F-LA Ms 0263,12th century,12,
